Sheet_Def,ADS Name,Variable,Label,Definition (derived Vars),Type,CRF Question,Label_CRF,deriv_info,deriv_info_null,deriv_info_len,Label_len,deriv_info_key_words
Zarit Burden Interview,ZBIERVAT,ZBIERVAT_ZBBLVALTR,Baseline Value - TR Phase ,Result at Visit 1,N,,Baseline Value - TR Phase ,Result at Visit 1,False,4,4,Result at Visit 1
Resource Utilization In Dementia,RUD,RUD_RUDASMDTC ,RUD Assessment Date Character,,C,,RUD Assessment Date Character,,True,0,4,
Disposition,DISPOSIT,DISPOSIT_DS,Disposition,"Subject disposition during the Main phase.

Use MRSDCA.

If SUBJID= --redacted-- and SDTYPE =1 then DS=4. (Patient --redacted-- has no data in SUM or CARESUM. This case was documented as a permanent issue for the datalock. According to the information received from the PA, site user was not available for data entry at the time of the lock. Reason for discontinuation is set to â€˜Lost to follow upâ€™.)



",N,,Disposition,"Subject disposition during the Main phase.

Use MRSDCA.

If SUBJID= --redacted-- and SDTYPE =1 then DS=4. (Patient --redacted-- has no data in SUM or CARESUM. This case was documented as a permanent issue for the datalock. According to the information received from the PA, site user was not available for data entry at the time of the lock. Reason for discontinuation is set to â€˜Lost to follow upâ€™.)



",False,69,1,time lock reason discontinuation set. disposition main phase use mrsdca. redacted data sum caresum case. 
Disposition,DISPOSIT,DISPOSIT_DTHDTC ,Death Date Character,.,C,Date of death,Death Date Character; Date of death,.,False,0,3,.
Medical History - Comorbidities,MHCMBD,MHCMBD_DISCDLNM_Depression,Disease Code SNM  : Depression,,,,Disease Code SNM  : Depression,,True,0,4,
Mini-Mental State Exam,MMSE,MMSE_MMSERN_MMSES10,MMSE Item Result Numeric MMSES10  Correct response to orientation to place what is the floor of the building (room number or address),,,,MMSE Item Result Numeric MMSES10  Correct response to orientation to place what is the floor of the building (room number or address),,True,0,22,
Neuropsychiatric Inventory,NPI,NPI_NPIRN_NPIS82,NPI Item Result Numeric NPIS82 : Caregiver Distress: Apathy/Indifference,,,,NPI Item Result Numeric NPIS82 : Caregiver Distress: Apathy/Indifference,,True,0,9,
health-related quality of life ,EQ5D,EQ5D_EQ5RN_EQ5S3,EQ-5D Item Result Numeric EQ5S3 : Usual Activities,,,,EQ-5D Item Result Numeric EQ5S3 : Usual Activities,,True,0,8,
health-related quality of life ,EQ5D,EQ5D_EQ5RN_EQ5S1,EQ-5D Item Result Numeric EQ5S1 : Mobility,,,,EQ-5D Item Result Numeric EQ5S1 : Mobility,,True,0,7,
Zarit Burden Interview,ZBIERVAT,ZBIERVAT_ZBIRN_ZBI18,ZBI Item Result Numeric ZBI18 : Do you wish you could just leave the care of your relative to someone else?,,,,ZBI Item Result Numeric ZBI18 : Do you wish you could just leave the care of your relative to someone else?,,True,0,20,
Zarit Burden Interview,ZBIERVAT,ZBIERVAT_ZBIRN_ZBI20,ZBI Item Result Numeric ZBI20 : Do you feel you should be doing more for your relative?,,,,ZBI Item Result Numeric ZBI20 : Do you feel you should be doing more for your relative?,,True,0,16,
Zarit Burden Interview,ZBIERVAT,ZBIERVAT_ZBIRN_ZBI14,"ZBI Item Result Numeric ZBI14 : Do you feel that your relative seems to expect you to take care of him/her, as if you were the only one he/she could depend on?",,,,"ZBI Item Result Numeric ZBI14 : Do you feel that your relative seems to expect you to take care of him/her, as if you were the only one he/she could depend on?",,True,0,33,
Alzheimer's Disease Assessment Scale,ADAS,ADAS_ADASRN_ADASS2,ADAS Item Result Numeric ADASS2 : Comprehension of Spoken Language,,,,ADAS Item Result Numeric ADASS2 : Comprehension of Spoken Language,,True,0,9,
Alzheimer's Disease Assessment Scale,ADAS,ADAS_ADASRN_ADASS1,ADAS Item Result Numeric ADASS1 : Language,,,,ADAS Item Result Numeric ADASS1 : Language,,True,0,6,
Time to Event,TTEVENT,TTEVENT_TTERN_TTIN,Time to Event Result Numeric (Time) TTIN : Time to Institutionalization,,,,Time to Event Result Numeric (Time) TTIN : Time to Institutionalization,,True,0,10,
