Sheet_Def,Domain,Variable,Label,Type,Codes,Rule for derivation,deriv_info,deriv_info_null,deriv_info_len,Label_len,deriv_info_key_words
ADAS-Cog data per visit,ADADAS,ADADAS_LOCKFL,Clean record flag,Char,"Y, N",,"Y, N",False,2,3,"Y, N"
ADAS-Cog data per visit,ADADAS,ADADAS_ADASSTAT,ADAS-COG Performed,Char,"Y, N","Yes = Y, No = N;","Y, N; Yes = Y, No = N;",False,6,3,"Y, N; Yes = Y, No = N;"
ADAS-Cog data per visit,ADADAS,ADADAS_ADASDTC,Date of ADAS-COG - ISO 8601,Char,,Combine non-missing variables for ADASSASMDAT into ISO 8601 date.,Combine non-missing variables for ADASSASMDAT into ISO 8601 date.,False,10,6,Combine non-missing variables for ADASSASMDAT into ISO 8601 date.
ADAS-Cog data per visit,ADADAS,ADADAS_ADASDT,Date of ADAS-COG,Num,,Combine variables for ADASSASMDAT  into SAS Date; if YYYY not missing and DD is missing then imput 15 for DD. If YYYY not missing and MM is missing impute 1 for MM. ,Combine variables for ADASSASMDAT  into SAS Date; if YYYY not missing and DD is missing then imput 15 for DD. If YYYY not missing and MM is missing impute 1 for MM. ,False,32,4,dd missing imput 15 dd. missing mm missing impute mm. variables adassasmdat sas date yyyy. 
ADAS-Cog data per visit,ADADAS,ADADAS_ADASDTI,Date of ADAS-COG Was Imputed,Char,"D, M, DM","If MM and DD were imputed then 'DM', else if DD imputed then 'D', else if MM imputed then 'M'","D, M, DM; If MM and DD were imputed then 'DM', else if DD imputed then 'D', else if MM imputed then 'M'",False,23,6,dd imputed dm dd imputed. imputed dm dd imputed mm. dm mm dd imputed dm. 
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT11,ADAS-Cog11 Total Score,Num,,"If none of the variable adas_t01-adast11 is missing the SUM(OF adas_t01-adas_t11), round to nearest integer.  
Else if at the most 3 of the variables adas_t01-adas_t11 are missing:
Calculate the maximum achievable score from for the variables that are not missing as _totpos_. The total score is (70 / _totpos_) *  SUM(OF adas_t01-adas_t11), then rounded to the nearest integer then cap at 70.
The highest possible score for adas_t01: 10, adas_t06: 8, adas_t07: 12, the other test: 5.","If none of the variable adas_t01-adast11 is missing the SUM(OF adas_t01-adas_t11), round to nearest integer.  
Else if at the most 3 of the variables adas_t01-adas_t11 are missing:
Calculate the maximum achievable score from for the variables that are not missing as _totpos_. The total score is (70 / _totpos_) *  SUM(OF adas_t01-adas_t11), then rounded to the nearest integer then cap at 70.
The highest possible score for adas_t01: 10, adas_t06: 8, adas_t07: 12, the other test: 5.",False,91,4,10 adas_t06 adas_t07 12 test. sum adas_t01 adas_t11 rounded nearest. maximum achievable score variables missing. 
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT11_I,ADAS-Cog11 Total Score was imputed,Num,,If adastot11 not missing and nmiss(of adas_t01-adas_t11) > 0 then 1; else if adastot11 not missing then 0;,If adastot11 not missing and nmiss(of adas_t01-adas_t11) > 0 then 1; else if adastot11 not missing then 0;,False,21,6,missing nmiss adas_t01 adas_t11 adastot11. nmiss adas_t01 adas_t11 adastot11 missing. adastot11 missing nmiss adas_t01 adas_t11. 
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT11B,ADAS-Cog11 Total Score at Baseline,Num,,Value of adastot11 for visitnum = 1,Value of adastot11 for visitnum = 1,False,6,6,Value of adastot11 for visitnum = 1
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT11B_I,ADAS-Cog11 Total Score at Baseline was imputed,Num,,Value of adastot11_i for visitnum = 1,Value of adastot11_i for visitnum = 1,False,7,8,Value of adastot11_i for visitnum = 1
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT11C,Change from Baseline in ZADAS-Cog11 Total Score,Num,,If visitnum > 1 then adastot11 - adastot11b;,If visitnum > 1 then adastot11 - adastot11b;,False,6,8,If visitnum > 1 then adastot11 - adastot11b;
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT11C_I,Change from Baseline in ZADAS-Cog11 Total Score was imputed,Num,,If adastot11c not missing and adastot11_i = 0 and adastot11b_i = 0 then 0; else if adastot11c not missing then 1;,If adastot11c not missing and adastot11_i = 0 and adastot11b_i = 0 then 0; else if adastot11c not missing then 1;,False,21,10,
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT14_90,ADAS-Cog14 (0 - 90) Total Score,Num,,"If none of the variable adas_t01-adast14 is missing the SUM(OF adas_t01-adas_t14), round to nearest integer.
Else if at the most 4 of the variables adas_t01-adas_t14 are missing:
Calculate the maximum achievable score from for the variables that are not missing as _totpos_. The total score is (90 / _totpos_) *  SUM(OF adas_t01-adas_t14), then rounded to the nearest integer then cap at 90.
The highest possible score for adas_t01 and adas_t12: 10, adas_t06: 8, adas_t07: 12, the other test: 5.","If none of the variable adas_t01-adast14 is missing the SUM(OF adas_t01-adas_t14), round to nearest integer.
Else if at the most 4 of the variables adas_t01-adas_t14 are missing:
Calculate the maximum achievable score from for the variables that are not missing as _totpos_. The total score is (90 / _totpos_) *  SUM(OF adas_t01-adas_t14), then rounded to the nearest integer then cap at 90.
The highest possible score for adas_t01 and adas_t12: 10, adas_t06: 8, adas_t07: 12, the other test: 5.",False,94,6,nearest integer variables adas_t01 adas_t14. maximum achievable score variables missing. _totpos_ total score 90 _totpos_. 
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT14_90_I,ADAS-Cog14 (0 - 90) Total Score was imputed,Num,,If adastot14_90 not missing and nmiss(of adas_t01-adas_t14) > 0 then 1; else if adastot14_90 not missing then 0;,If adastot14_90 not missing and nmiss(of adas_t01-adas_t14) > 0 then 1; else if adastot14_90 not missing then 0;,False,23,8,missing nmiss adas_t01 adas_t14 adastot14_90. nmiss adas_t01 adas_t14 adastot14_90 missing. adastot14_90 missing nmiss adas_t01 adas_t14. 
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT14_90B,ADAS-Cog14 (0 - 90) Total Score at Baseline,Num,,Value of adastot14_90 for visitnum = 1,Value of adastot14_90 for visitnum = 1,False,7,8,Value of adastot14_90 for visitnum = 1
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT14_90B_I,ADAS-Cog14 (0 - 90) Total Score at Baseline was imputed,Num,,Value of adastot14_90_i for visitnum = 1,Value of adastot14_90_i for visitnum = 1,False,8,10,Value of adastot14_90_i for visitnum = 1
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT14_90C,Change from Baseline in ZADAS-Cog14 (0 - 90) Total Score,Num,,If visitnum > 1 then adastot14_90 - adastot14_90b;,If visitnum > 1 then adastot14_90 - adastot14_90b;,False,8,10,If visitnum > 1 then adastot14_90 - adastot14_90b;
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT14_90C_I,Change from Baseline in ZADAS-Cog14 (0 - 90) Total Score was imputed,Num,,If adastot14_90c not missing and adastot14_90_i = 0 and adastot14_90b_i = 0 then 0; else if adastot14_90c not missing then 1;,If adastot14_90c not missing and adastot14_90_i = 0 and adastot14_90b_i = 0 then 0; else if adastot14_90c not missing then 1;,False,25,12,
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT14_85,ADAS-Cog14 (0 - 85) Total Score was imputed,Num,,"If none of the variable adas_t01-adast14 is missing the SUM(OF adas_t01-adas_t11, adas_t12/2, adas_t13, adas_t14), round to nearest integer. 
Else if at the most 4 of the variables adas_t01-adas_t14 are missing:
Calculate the maximum achievable score from for the variables that are not missing as _totpos_. The total score is (85 / _totpos_) *   SUM(OF adas_t01-adas_t11, adas_t12/2, adas_t13, adas_t14), then rounded to the nearest integer then cap at 85.
The highest possible score for adas_t01: 10, adas_t06: 8, adas_t07: 12, the other test: 5.","If none of the variable adas_t01-adast14 is missing the SUM(OF adas_t01-adas_t11, adas_t12/2, adas_t13, adas_t14), round to nearest integer. 
Else if at the most 4 of the variables adas_t01-adas_t14 are missing:
Calculate the maximum achievable score from for the variables that are not missing as _totpos_. The total score is (85 / _totpos_) *   SUM(OF adas_t01-adas_t11, adas_t12/2, adas_t13, adas_t14), then rounded to the nearest integer then cap at 85.
The highest possible score for adas_t01: 10, adas_t06: 8, adas_t07: 12, the other test: 5.",False,105,8,10 adas_t06 adas_t07 12 test. maximum achievable score variables missing. total score 85 _totpos_ sum. 
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT14_85_i,ADAS-Cog14 (0 - 85) Total Score,Num,,If adastot14_85 not missing and nmiss(of adas_t01-adas_t14) > 0 then 1; else if adastot14_85 not missing then 0;,If adastot14_85 not missing and nmiss(of adas_t01-adas_t14) > 0 then 1; else if adastot14_85 not missing then 0;,False,23,6,missing nmiss adas_t01 adas_t14 adastot14_85. nmiss adas_t01 adas_t14 adastot14_85 missing. adastot14_85 missing nmiss adas_t01 adas_t14. 
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT14_85B,ADAS-Cog14 (0 - 85) Total Score at Baseline,Num,,Value of adastot14_85 for visitnum = 1,Value of adastot14_85 for visitnum = 1,False,7,8,Value of adastot14_85 for visitnum = 1
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT14_85B_I,ADAS-Cog14 (0 - 85) Total Score at Baseline was imputed,Num,,Value of adastot14_85_1 for visitnum = 1,Value of adastot14_85_1 for visitnum = 1,False,8,10,Value of adastot14_85_1 for visitnum = 1
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT14_85C,Change from Baseline in ZADAS-Cog14 (0 - 85) Total Score,Num,,If visitnum > 1 then adastot14_85 - adastot14_85b;,If visitnum > 1 then adastot14_85 - adastot14_85b;,False,8,10,If visitnum > 1 then adastot14_85 - adastot14_85b;
ADAS-Cog data per visit,ADADAS,ADADAS_ADASTOT14_85C_I,Change from Baseline in ZADAS-Cog14 (0 - 85) Total Score was imputed,Num,,If adastot14_85c not missing and adastot14_85_i = 0 and adastot14_85b_i = 0 then 0; else if adastot14_85c not missing then 1;,If adastot14_85c not missing and adastot14_85_i = 0 and adastot14_85b_i = 0 then 0; else if adastot14_85c not missing then 1;,False,25,12,
ADAS-Cog data per visit,ADADAS,ADADAS_ADAS_T01,ADAS-COG: Word Recall,Num,,"MEAN(OF adcrlt01_std, adcrlt02_std, adcrlt03_std). So if one or two are missing take mean from what is available (issuelog #45).","MEAN(OF adcrlt01_std, adcrlt02_std, adcrlt03_std). So if one or two are missing take mean from what is available (issuelog #45).",False,23,4,missing mean available issuelog 45. mean adcrlt01_std adcrlt02_std adcrlt03_std missing. adcrlt01_std adcrlt02_std adcrlt03_std missing mean. 
ADAS-Cog data per visit,ADADAS,ADADAS_ADAS_T02,ADAS-COG: Commands,Num,,,,True,0,3,
ADAS-Cog data per visit,ADADAS,ADADAS_ADAS_T03,ADAS-COG: Constructional Praxis,Num,,,,True,0,4,
ADAS-Cog data per visit,ADADAS,ADADAS_ADAS_T04,ADAS-COG: Naming Objects and Fingers,Num,,,,True,0,6,
ADAS-Cog data per visit,ADADAS,ADADAS_ADAS_T05,ADAS-COG: Ideational Praxis,Num,,,,True,0,4,
ADAS-Cog data per visit,ADADAS,ADADAS_ADAS_T06,ADAS-COG: Orientation,Num,,,,True,0,3,
ADAS-Cog data per visit,ADADAS,ADADAS_ADAS_T07,ADAS-COG: Word Recognition,Num,,,,True,0,4,
ADAS-Cog data per visit,ADADAS,ADADAS_ADAS_T08,ADAS-COG: Remembering Test Instructions,Num,,,,True,0,5,
ADAS-Cog data per visit,ADADAS,ADADAS_ADAS_T09,ADAS-COG: Comprehension of Spoken Language,Num,,,,True,0,6,
ADAS-Cog data per visit,ADADAS,ADADAS_ADAS_T10,ADAS-COG: Word-finding Difficulty,Num,,,,True,0,5,
ADAS-Cog data per visit,ADADAS,ADADAS_ADAS_T11,ADAS-COG: Language,Num,,,,True,0,3,
ADAS-Cog data per visit,ADADAS,ADADAS_ADAS_T12,ADAS-COG: Delayed Word Recall,Num,,,,True,0,5,
ADAS-Cog data per visit,ADADAS,ADADAS_ADAS_T13,ADAS-COG: Executive Function (Maze),Num,,,,True,0,5,
ADAS-Cog data per visit,ADADAS,ADADAS_ADAS_T14,ADAS-COG: Number Cancellation Tasks,Num,,,,True,0,5,
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSSTAT,ADCS-ADL Performed,Character,"Y, N","Yes = Y, No = N;","Y, N; Yes = Y, No = N;",False,6,3,"Y, N; Yes = Y, No = N;"
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSDTC,Date of ADCS-ADL - ISO 8601,Character,,Combine non-missing variables for ADLASMDAT into ISO 8601 date.,Combine non-missing variables for ADLASMDAT into ISO 8601 date.,False,10,6,Combine non-missing variables for ADLASMDAT into ISO 8601 date.
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSDT,Date of ADCS-ADL,Numeric,,Combine variables for ADLASMDAT  into SAS Date; if YYYY not missing and DD is missing then imput 15 for DD. If YYYY not missing and MM is missing impute 1 for MM. ,Combine variables for ADLASMDAT  into SAS Date; if YYYY not missing and DD is missing then imput 15 for DD. If YYYY not missing and MM is missing impute 1 for MM. ,False,32,4,dd missing imput 15 dd. missing mm missing impute mm. variables adlasmdat sas date yyyy. 
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSDTI,Date of ADCS-ADL Was Imputed,Character,"D, M, DM","If MM and DD were imputed then 'DM', else if DD imputed then 'D', else if MM imputed then 'M'","D, M, DM; If MM and DD were imputed then 'DM', else if DD imputed then 'D', else if MM imputed then 'M'",False,23,6,dd imputed dm dd imputed. imputed dm dd imputed mm. dm mm dd imputed dm. 
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSTOT,ADCS-ADL Total Score,Numeric,,"If none of the variable adcsi01-adcsi23 is missing the SUM(OF adcsi01-adcsi23). 
Else if at the most 6 of the variables adcsi01-adcsi23 are missing:
Calculate the maximum achievable score from for the variables that are not missing as _totpos_. The total score is (78 / _totpos_) *   SUM(OF adcsi01-adcsi23)  then rounded to the nearest integer and capped at 78.
For highest scores to tab ""ADADC add"".","If none of the variable adcsi01-adcsi23 is missing the SUM(OF adcsi01-adcsi23). 
Else if at the most 6 of the variables adcsi01-adcsi23 are missing:
Calculate the maximum achievable score from for the variables that are not missing as _totpos_. The total score is (78 / _totpos_) *   SUM(OF adcsi01-adcsi23)  then rounded to the nearest integer and capped at 78.
For highest scores to tab ""ADADC add"".",False,69,4,78 highest scores tab adadc. achievable score variables missing _totpos_. adcsi01 adcsi23 missing sum adcsi01. 
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSTOT_I,ADCS-ADL Total Score was imputed,Numeric,,If adcstot not missing and nmiss (of adcsi01-adcsi23) > 0 then 1; else if adcstot not missing then 0;,If adcstot not missing and nmiss (of adcsi01-adcsi23) > 0 then 1; else if adcstot not missing then 0;,False,19,6,If adcstot not missing and nmiss (of adcsi01-adcsi23) > 0 then 1; else if adcstot not missing then 0;
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSTOTB,ADCS-ADL Total Score at Baseline,Numeric,,Value of adcstot for visitnum = 1,Value of adcstot for visitnum = 1,False,6,6,Value of adcstot for visitnum = 1
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSTOTB_I,ADCS-ADL Total Score at Baseline was imputed,Numeric,,Value of adcstot_i for visitnum = 1,Value of adcstot_i for visitnum = 1,False,7,8,Value of adcstot_i for visitnum = 1
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSTOTC,Change from Baseline in ADCS-ADL Total Score,Numeric,,If visitnum > 1 then adcstot - adcstotb;,If visitnum > 1 then adcstot - adcstotb;,False,6,8,If visitnum > 1 then adcstot - adcstotb;
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSTOTC_I,Change from Baseline in ADCS-ADL Total Score was imputed,Numeric,,If adcstotc not missing and adcstot_i = 0 and adcstotb_i = 0 then 0; else if adcstotc not missing then 1;,If adcstotc not missing and adcstot_i = 0 and adcstotb_i = 0 then 0; else if adcstotc not missing then 1;,False,21,10,
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSBAS,ADCS-ADL Basic Score,Numeric,,"If none of the variable adcsi01-adcsi06 is missing the SUM(OF adcsi01-adcsi06). 
Else if at the most 1 of the variables adcsi01-adcsi06 are missing:
Calculate the maximum achievable score from for the variables that are not missing as _totpos_. The total score is (22 / _totpos_) *   SUM(OF adcsi01-adcsi06)  then rounded to the nearest integer and capped at 22.
For highest scores to tab ""ADADC add"".","If none of the variable adcsi01-adcsi06 is missing the SUM(OF adcsi01-adcsi06). 
Else if at the most 1 of the variables adcsi01-adcsi06 are missing:
Calculate the maximum achievable score from for the variables that are not missing as _totpos_. The total score is (22 / _totpos_) *   SUM(OF adcsi01-adcsi06)  then rounded to the nearest integer and capped at 22.
For highest scores to tab ""ADADC add"".",False,69,4,_totpos_ total score 22 _totpos_. adcsi01 adcsi06 missing sum adcsi01. maximum achievable score variables missing. 
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSBAS_I,ADCS-ADL Basic Score was imputed,Numeric,,If adcsbas not missing and nmiss (of adcsi01-adcsi06) > 0 then 1; else if adcsbas not missing then 0;,If adcsbas not missing and nmiss (of adcsi01-adcsi06) > 0 then 1; else if adcsbas not missing then 0;,False,19,6,If adcsbas not missing and nmiss (of adcsi01-adcsi06) > 0 then 1; else if adcsbas not missing then 0;
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSBASB,ADCS-ADL Basic Score at Baseline,Numeric,,Value of adcstot for visitnum = 1,Value of adcstot for visitnum = 1,False,6,6,Value of adcstot for visitnum = 1
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSBASB_I,ADCS-ADL Basic Score at Baseline was imputed,Numeric,,Value of adcsbas_i for visitnum = 1,Value of adcsbas_i for visitnum = 1,False,7,8,Value of adcsbas_i for visitnum = 1
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSBASC,Change from Baseline in ADCS-ADL Basic Score,Numeric,,If visitnum > 1 then adcsbas - adcsbasb;,If visitnum > 1 then adcsbas - adcsbasb;,False,6,8,If visitnum > 1 then adcsbas - adcsbasb;
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSBASC_I,Change from Baseline in ADCS-ADL Basic Score was imputed,Numeric,,If adcsbasc not missing and adcsbas_i = 0 and adcsbasb_i = 0 then 0; else if adcsbasc not missing then 1;,If adcsbasc not missing and adcsbas_i = 0 and adcsbasb_i = 0 then 0; else if adcsbasc not missing then 1;,False,21,10,
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSINS,ADCS-ADL Instrumental Score,Numeric,,"If none of the variable adcsi07-adcsi23 is missing the SUM(OF adcsi07-adcsi23). 
Else if at the most 5 of the variables adcsi07-adcsi23 are missing:
Calculate the maximum achievable score from for the variables that are not missing as _totpos_. The total score is (56 / _totpos_) *   SUM(OF adcsi07-adcsi23)  then rounded to the nearest integer and capped at 56.
For highest scores to tab ""ADADC add"".","If none of the variable adcsi07-adcsi23 is missing the SUM(OF adcsi07-adcsi23). 
Else if at the most 5 of the variables adcsi07-adcsi23 are missing:
Calculate the maximum achievable score from for the variables that are not missing as _totpos_. The total score is (56 / _totpos_) *   SUM(OF adcsi07-adcsi23)  then rounded to the nearest integer and capped at 56.
For highest scores to tab ""ADADC add"".",False,69,4,adcsi23 missing sum adcsi07 adcsi23. 56 highest scores tab adadc. achievable score variables missing _totpos_. 
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSINS_I,ADCS-ADL Instrumental Score was imputed,Numeric,,If adcsins not missing and nmiss (of adcsi07-adcsi23) > 0 then 1; else if adcsins not missing then 0;,If adcsins not missing and nmiss (of adcsi07-adcsi23) > 0 then 1; else if adcsins not missing then 0;,False,19,6,If adcsins not missing and nmiss (of adcsi07-adcsi23) > 0 then 1; else if adcsins not missing then 0;
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSINSB,ADCS-ADL Instrumental Score at Baseline,Numeric,,Value of adcsins for visitnum = 1,Value of adcsins for visitnum = 1,False,6,6,Value of adcsins for visitnum = 1
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSINSB_I,ADCS-ADL Instrumental Score at Baseline was imputed,Numeric,,Value of adcsins_i for visitnum = 1,Value of adcsins_i for visitnum = 1,False,7,8,Value of adcsins_i for visitnum = 1
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSINSC,Change from Baseline in ADCS-ADL Instrumental Score,Numeric,,If visitnum > 1 then adcsins - adcsinsb;,If visitnum > 1 then adcsins - adcsinsb;,False,6,8,If visitnum > 1 then adcsins - adcsinsb;
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSINSC_I,Change from Baseline in ADCS-ADL Instrumental Score was imputed,Numeric,,If adcsinsc not missing and adcsins_i = 0 and adcsinsb_i = 0 then 0; else if adcsinsc not missing then 1;,If adcsinsc not missing and adcsins_i = 0 and adcsinsb_i = 0 then 0; else if adcsinsc not missing then 1;,False,21,10,
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSBASS,ADCS-ADL Basic Subdomain Score,Numeric,,"If none of the variable adcsi01-adcsi05 is missing the SUM( adcsi01-adcsi05). 
Else if at the most q of the variables  adcsi01-adcsi05 is missing:
Calculate the maximum achievable score from for the variables that are not missing as _totpos_. The total score is 15/ _totpos_) *   SUM(OF adcsi01-adcsi05)  then rounded to the nearest integer and capped at15.
For highest scores to tab ""ADADC add"".","If none of the variable adcsi01-adcsi05 is missing the SUM( adcsi01-adcsi05). 
Else if at the most q of the variables  adcsi01-adcsi05 is missing:
Calculate the maximum achievable score from for the variables that are not missing as _totpos_. The total score is 15/ _totpos_) *   SUM(OF adcsi01-adcsi05)  then rounded to the nearest integer and capped at15.
For highest scores to tab ""ADADC add"".",False,67,5,adcsi01 adcsi05 missing sum adcsi01. _totpos_ total score 15 _totpos_. maximum achievable score variables missing. 
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSBASS_I,ADCS-ADL Basic Subdomain Score was imputed,Numeric,,If adcsbass not missing and nmiss (of adcsi01-adcsi05) > 0 then 1; else if adcsbass not missing then 0;,If adcsbass not missing and nmiss (of adcsi01-adcsi05) > 0 then 1; else if adcsbass not missing then 0;,False,19,7,If adcsbass not missing and nmiss (of adcsi01-adcsi05) > 0 then 1; else if adcsbass not missing then 0;
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSBASSB,ADCS-ADL Basic Subdomain Score at Baseline,Numeric,,Value of adcsbass for visitnum = 1,Value of adcsbass for visitnum = 1,False,6,7,Value of adcsbass for visitnum = 1
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSBASSB_I,ADCS-ADL Basic Subdomain Score at Baseline was imputed,Numeric,,Value of adcsbass_i for visitnum = 1,Value of adcsbass_i for visitnum = 1,False,7,9,Value of adcsbass_i for visitnum = 1
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSBASSC,Change from Baseline in ADCS-ADL Basic Subdomain Score,Numeric,,If visitnum > 1 then adcsbass - adcsbass;,If visitnum > 1 then adcsbass - adcsbass;,False,6,9,If visitnum > 1 then adcsbass - adcsbass;
ADAS-ADL data per visit,ADADCS,ADADCS_ADCSBASSC_I,Change from Baseline in ADCS-ADL Basic Subdomain Score was imputed,Numeric,,If adcsbassc not missing and adcsbass_i = 0 and adcsbassb_i = 0 then 0; else if adcsbassc not missing then 1;,If adcsbassc not missing and adcsbass_i = 0 and adcsbassb_i = 0 then 0; else if adcsbassc not missing then 1;,False,21,11,
